ida_ea	name	signature	source_cpp
0x006F4120	?copy_skeleton@phys_anim_bone_array@@SAXPAVEntity@@QAVMat43@math@@@Z	public: static void __cdecl phys_anim_bone_array::copy_skeleton(class Entity *,class math::Mat43 * const)	
0x006F41F0	?write_skeleton@phys_anim_bone_array@@SAXPAVEntity@@QAVMat43@math@@@Z	public: static void __cdecl phys_anim_bone_array::write_skeleton(class Entity *,class math::Mat43 * const)	
0x006F42C0	?set@bone_mass_info@@QAEXHHMMMABVPosition3@math@@HMMMHHW4joint_type_e@1@MMABVDir3@3@222M@Z	public: void __thiscall bone_mass_info::set(int,int,float,float,float,class math::Position3 const &,int,float,float,float,int,int,enum bone_mass_info::joint_type_e,float,float,class math::Dir3 const &,class math::Dir3 const &,class math::Dir3 const &,class math::Dir3 const &,float)	
0x006F43F0	?setup_user_bone_ids@@YAXPAVEntity@@@Z	void __cdecl setup_user_bone_ids(class Entity *)	
0x006F44F0	?create_system@biped_system@@AAEXPAVbiped_phys_info@@@Z	private: void __thiscall biped_system::create_system(class biped_phys_info *)	
0x006F4500	?initialize_members@biped_system@@AAEXXZ	private: void __thiscall biped_system::initialize_members(void)	
0x006F4530	?recreate_bps@biped_system@@QAEXPAVEntity@@H@Z	public: void __thiscall biped_system::recreate_bps(class Entity *,int)	
0x006F4570	?get_joint_damp_k@@YAMH@Z	float __cdecl get_joint_damp_k(int)	
0x006F45E0	?prolog_frame_advance@biped_system@@QAEXPAVEntity@@M@Z	public: void __thiscall biped_system::prolog_frame_advance(class Entity *,float)	
0x006F45F0	?debug_render@biped_system@@QAEXXZ	public: void __thiscall biped_system::debug_render(void)	
0x006F4600	?render_single_rigid_body@@YAXQAVrigid_body@@@Z	void __cdecl render_single_rigid_body(class rigid_body * const)	
0x006F4650	?set@rb_collision_capsule@@QAEXABVPosition3@math@@0M@Z	public: void __thiscall rb_collision_capsule::set(class math::Position3 const &,class math::Position3 const &,float)	
0x006F46A0	?set@ragdoll_collision_callback@@QAEXQAVEntity@@@Z	public: void __thiscall ragdoll_collision_callback::set(class Entity * const)	
0x006F46B0	??0vehicle_rb_parameter@@QAE@XZ	public: __thiscall vehicle_rb_parameter::vehicle_rb_parameter(void)	
0x006F4830	?_align_wheels@rb_vehicle@@AAEXXZ	private: void __thiscall rb_vehicle::_align_wheels(void)	
0x006F4930	?_set_default_pose_wheels_only@rb_vehicle@@AAEXXZ	private: void __thiscall rb_vehicle::_set_default_pose_wheels_only(void)	
0x006F4A00	?process_hitp@rb_vehicle@@QAE?AVPosition3@math@@ABV23@@Z	public: class math::Position3 __thiscall rb_vehicle::process_hitp(class math::Position3 const &)	
0x006F4A30	?_calc_initial_susp_spring_k@rb_vehicle@@AAEMPAVrigid_body_constraint_wheel@@@Z	private: float __thiscall rb_vehicle::_calc_initial_susp_spring_k(class rigid_body_constraint_wheel *)	
0x006F4AD0	?is_peeling_out@rb_vehicle@@QBE_NXZ	public: bool __thiscall rb_vehicle::is_peeling_out(void)const 	
0x006F4B00	?_update_fakey_stuff@rb_vehicle@@AAEXM@Z	private: void __thiscall rb_vehicle::_update_fakey_stuff(float)	
0x006F4F30	?set_default_pose@rb_vehicle@@QAEXXZ	public: void __thiscall rb_vehicle::set_default_pose(void)	
0x006F4F50	?remove_wheels@rb_vehicle@@QAEXXZ	public: void __thiscall rb_vehicle::remove_wheels(void)	
0x006F4FD0	?set@rb_vehicle@@QAEXMMMMMMMMABVDir3@math@@M@Z	public: void __thiscall rb_vehicle::set(float,float,float,float,float,float,float,float,class math::Dir3 const &,float)	
0x006F50A0	?update_steering@rb_vehicle@@QAEXM@Z	public: void __thiscall rb_vehicle::update_steering(float)	
0x006F5780	?update_braking_and_acceleration@rb_vehicle@@QAEXM@Z	public: void __thiscall rb_vehicle::update_braking_and_acceleration(float)	
0x006F5860	?update_from_network@rb_vehicle@@QAEXABVPosition3@math@@0ABVDir3@3@1@Z	public: void __thiscall rb_vehicle::update_from_network(class math::Position3 const &,class math::Position3 const &,class math::Dir3 const &,class math::Dir3 const &)	
0x006F5B00	?RecalibrateInputCustom@@YAHHH@Z	int __cdecl RecalibrateInputCustom(int,int)	
0x006F5B50	?UpdateJump@RBVehicleController@@AAEXAAVrb_vehicle@@@Z	private: void __thiscall RBVehicleController::UpdateJump(class rb_vehicle &)	
0x006F5B60	?path_constraint_update@@YAXPAVrigid_body_constraint_custom_path@@PAVEntity@@@Z	void __cdecl path_constraint_update(class rigid_body_constraint_custom_path *,class Entity *)	
0x006F5CC0	?path_constraint_create@@YAPAVrigid_body_constraint_custom_path@@PAVEntity@@@Z	class rigid_body_constraint_custom_path * __cdecl path_constraint_create(class Entity *)	
0x006F5F00	?path_constraint_destroy@@YAXPAVrigid_body_constraint_custom_path@@@Z	void __cdecl path_constraint_destroy(class rigid_body_constraint_custom_path *)	
0x006F5F70	?UpdateWheelMarks@@YAXPAVEntity@@W4wheel_e@@W4wheel_effect_state_e@@ABVPosition3@math@@ABVDir3@5@@Z	void __cdecl UpdateWheelMarks(class Entity *,enum wheel_e,enum wheel_effect_state_e,class math::Position3 const &,class math::Dir3 const &)	
0x006F61C0	?KillEntity@@YAXPAVEntity@@@Z	void __cdecl KillEntity(class Entity *)	
0x006F6300	?SetModel@@YAXPAVEntity@@PBD@Z	void __cdecl SetModel(class Entity *,char const *)	
0x006F6360	?MoveGravity@@YAXPAVEntity@@QBMM@Z	void __cdecl MoveGravity(class Entity *,float const * const,float)	
0x006F6470	?DeletePiece@Destructible@@QAEXPAVEntity@@@Z	public: void __thiscall Destructible::DeletePiece(class Entity *)	
0x006F64B0	?InvalidateCoverNode@Destructible@@SAXPAVEntity@@@Z	public: static void __cdecl Destructible::InvalidateCoverNode(class Entity *)	
0x006F64E0	?init@rtree_root_t@@QAEXXZ	public: void __thiscall rtree_root_t::init(void)	
0x006F6570	?rtree_node_overlap_test@@YA_NABUrtree_node_t@@IPBU1@@Z	bool __cdecl rtree_node_overlap_test(struct rtree_node_t const &,unsigned int,struct rtree_node_t const *)	
0x006F6620	?traverse_rtree@@YAXABVPosition3@math@@0ABUrtree_root_t@@AAUsubdivision_visitor@@@Z	void __cdecl traverse_rtree(class math::Position3 const &,class math::Position3 const &,struct rtree_root_t const &,struct subdivision_visitor &)	
0x006F6AC0	?absolutely_fatal_irrecoverable_error_infinite_loop@@YAXXZ	void __cdecl absolutely_fatal_irrecoverable_error_infinite_loop(void)	
0x006F6AD0	?rtree_query_size_error_handler@@YA_NABVPosition3@math@@0@Z	bool __cdecl rtree_query_size_error_handler(class math::Position3 const &,class math::Position3 const &)	
0x006F6C20	?setup@wheel_collision_info@@QAEXPAVrigid_body@@PAVrigid_body_constraint_wheel@@@Z	public: void __thiscall wheel_collision_info::setup(class rigid_body *,class rigid_body_constraint_wheel *)	
0x006F6D20	?collision_memory_epilog@@YAXXZ	void __cdecl collision_memory_epilog(void)	
0x006F6DA0	?set@rb_extra_info@@QAEXQAVEntity@@QAVrigid_body@@ABVMat43@math@@MABVPosition3@5@@Z	public: void __thiscall rb_extra_info::set(class Entity * const,class rigid_body * const,class math::Mat43 const &,float,class math::Position3 const &)	
0x006F6E60	?set_priority@rb_extra_info@@QAEXW4EPropPriority@@@Z	public: void __thiscall rb_extra_info::set_priority(enum EPropPriority)	
0x006F6EC0	?evaluate_effect_priority@rb_extra_info@@QAEXXZ	public: void __thiscall rb_extra_info::evaluate_effect_priority(void)	
0x006F7060	?phys_collision_allocater_ballistic_reinit@@YAXXZ	void __cdecl phys_collision_allocater_ballistic_reinit(void)	
0x006F70B0	?generate_local_primitive_list@@YAPAUphysics_colgeom_visitor@@ABVDir3@math@@0H@Z	struct physics_colgeom_visitor * __cdecl generate_local_primitive_list(class math::Dir3 const &,class math::Dir3 const &,int)	
0x006F71C0	??0biped_phys_info@@QAE@XZ	public: __thiscall biped_phys_info::biped_phys_info(void)	
0x006F71E0	?setup@biped_phys_info@@AAE_NPAVEntity@@@Z	private: bool __thiscall biped_phys_info::setup(class Entity *)	
0x006F7620	?prolog_frame_advance@biped_phys_info@@QAEXM@Z	public: void __thiscall biped_phys_info::prolog_frame_advance(float)	
0x006F76A0	?copy_back_bones@phys_anim_bone_array@@QAEXPAVEntity@@@Z	public: void __thiscall phys_anim_bone_array::copy_back_bones(class Entity *)	
0x006F79B0	?copy_back_tween@phys_anim_bone_array@@QAEXPAVEntity@@M@Z	public: void __thiscall phys_anim_bone_array::copy_back_tween(class Entity *,float)	
0x006F8190	?copy_tween_start@phys_anim_bone_array@@QAEXPAVEntity@@@Z	public: void __thiscall phys_anim_bone_array::copy_tween_start(class Entity *)	
